heartRate_cozie,light_cozie,noise_cozie,user_id,time-numeric,thermal_cozie
87.0,9.0,10.0,cresh01,13.15,10.0
77.0,10.0,10.0,cresh01,13.2,10.0
61.0,9.0,10.0,cresh01,13.31,10.0
91.0,10.0,10.0,cresh07,13.34,10.0
72.0,10.0,10.0,cresh05,13.37,11.0
56.0,10.0,11.0,cresh01,13.47,10.0
105.0,10.0,11.0,cresh14,14.2,10.0
63.0,10.0,10.0,cresh01,14.3,10.0
66.0,10.0,10.0,cresh05,14.16,11.0
67.0,10.0,11.0,cresh01,14.18,10.0
60.0,10.0,10.0,cresh01,14.34,10.0
109.0,10.0,10.0,cresh14,14.34,11.0
55.0,10.0,11.0,cresh01,14.49,10.0
60.0,10.0,10.0,cresh01,15.4,10.0
65.0,10.0,10.0,cresh01,15.2,10.0
57.0,10.0,10.0,cresh01,15.35,10.0
63.0,10.0,10.0,cresh01,15.5,10.0
62.0,10.0,10.0,cresh01,16.5,9.0
85.0,11.0,10.0,cresh01,16.2,9.0
64.0,10.0,10.0,cresh12,16.35,11.0
66.0,10.0,10.0,cresh01,16.35,10.0
63.0,11.0,10.0,cresh01,16.51,9.0
95.0,9.0,10.0,cresh13,17.4,11.0
53.0,10.0,10.0,cresh01,17.6,9.0
63.0,10.0,10.0,cresh12,17.43,10.0
91.0,10.0,10.0,cresh04,17.48,10.0
73.0,10.0,10.0,cresh12,17.56,10.0
92.0,10.0,10.0,cresh04,17.59,10.0
91.0,10.0,10.0,cresh14,18.9,10.0
61.0,10.0,10.0,cresh12,18.15,10.0
79.0,10.0,10.0,cresh04,18.22,10.0
84.0,10.0,11.0,cresh14,18.28,10.0
80.0,10.0,10.0,cresh14,18.46,10.0
75.0,10.0,10.0,cresh12,19.4,11.0
84.0,9.0,10.0,cresh13,20.6,10.0
67.0,10.0,10.0,cresh05,9.58,10.0
103.0,10.0,10.0,cresh04,10.8,10.0
96.0,10.0,10.0,cresh05,10.4,10.0
90.0,10.0,10.0,cresh04,11.2,10.0
122.0,10.0,10.0,cresh14,11.22,10.0
79.0,10.0,10.0,cresh04,11.34,10.0
90.0,10.0,10.0,cresh05,11.38,10.0
90.0,10.0,10.0,cresh05,11.38,10.0
