,index,time,comfort_cozie,heartRate_cozie,lat_cozie,light_cozie,lon_cozie,noise_cozie,responseSpeed_cozie,thermal_cozie,user_id,Floor,Latitude,Longitude,Space_id,steerpath_room,room,co2_sensing,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,voc_sensing,temperature_mbient
69,69,2019-10-02 02:22:50.275000+00:00,,79.0,1.3076216667,10.0,103.773385,,4600.784,,cresh40,,,,,,,,,,,,,28.75
70,70,2019-10-02 03:04:13.492000+00:00,10.0,75.0,,10.0,,10.0,1.703,10.0,cresh39,2.0,1.2973826068483396,103.77104902712625,45.0,FORGE,BUILDING_MATERIALS_LAB,580.0,54.1611,68.0,45.0,23.7194,141.0,30.125
71,71,2019-10-02 03:14:12.692000+00:00,,78.0,,10.0,,10.0,658.041,10.0,cresh35,2.0,1.2973449130554513,103.77103820542615,45.0,FORGE,BUILDING_MATERIALS_LAB,614.0,54.599,69.0,45.0,23.81,135.0,30.875
72,72,2019-10-02 03:16:22.851000+00:00,,99.0,,9.0,,10.0,11.067,,cresh36,,,,,,,,,,,,,27.5
73,73,2019-10-02 03:19:26.923000+00:00,10.0,77.0,,10.0,,10.0,5.212,10.0,cresh35,2.0,1.2973449130554513,103.77103820542615,45.0,FORGE,BUILDING_MATERIALS_LAB,632.0,54.6513,70.0,45.0,23.8826,141.0,30.5
74,74,2019-10-02 04:44:39.163000+00:00,9.0,84.0,,10.0,,10.0,3.988,11.0,cresh36,2.0,1.297353303300378,103.77104032238341,45.0,FORGE,BUILDING_MATERIALS_LAB,620.0,54.1416,74.0,45.0,23.7784,124.0,29.375
75,75,2019-10-02 04:56:00.775000+00:00,,71.0,,10.0,,10.0,5965.709,10.0,cresh39,3.0,1.2968287716688844,103.7704404426518,2.0,BEEHUB,ENERGY_LAB_1,474.0,66.6506,75.0,46.0,26.3992,133.0,28.625
76,76,2019-10-02 05:08:08.292000+00:00,10.0,86.0,,10.0,,10.0,2.023,10.0,cresh39,3.0,1.2968877556121523,103.77046926731686,3.0,BEEHUB_TRAINING_ROOM,no_sensor,,,,,,,28.125
77,77,2019-10-02 05:46:34.006000+00:00,,83.0,,10.0,,10.0,1280.931,10.0,cresh39,,,,,,,,,,,,,28.375
78,78,2019-10-02 05:53:34.686000+00:00,,81.0,,10.0,,10.0,2242.752,11.0,cresh36,2.0,1.2970415797830288,103.77018463804944,-1.0,undefined,no_sensor,,,,,,,30.625
79,79,2019-10-02 05:58:03.543000+00:00,,74.0,,10.0,,10.0,3288.764,9.0,cresh35,2.0,1.2973779440733257,103.7710481163267,45.0,FORGE,BUILDING_MATERIALS_LAB,632.0,54.0808,66.0,47.0,23.869,177.0,28.125
80,80,2019-10-02 06:20:43.456000+00:00,10.0,110.0,,10.0,,10.0,1.309,10.0,cresh39,2.0,1.2969627474728447,103.77012243439697,20.0,IRC_LIBRARY,IRC_LIBRARY_1,538.0,61.7939,118.0,48.0,26.9509,128.0,28.875
81,81,2019-10-02 06:20:48.750000+00:00,10.0,105.0,,10.0,,10.0,1.832,10.0,cresh39,2.0,1.2969779915768604,103.77007175830177,-1.0,undefined,no_sensor,,,,,,,28.875
82,82,2019-10-02 06:31:42.799000+00:00,10.0,75.0,,10.0,,10.0,2.797,10.0,cresh39,2.0,1.2969622553682703,103.77010698532358,20.0,IRC_LIBRARY,IRC_LIBRARY_1,536.0,61.5397,109.0,49.0,26.9783,124.0,28.375
83,83,2019-10-02 07:00:15.334000+00:00,10.0,73.0,,10.0,,10.0,2.153,10.0,cresh39,,,,,,,,,,,,,28.125
84,84,2019-10-02 07:16:23.818000+00:00,,71.0,,10.0,,10.0,11.745,11.0,cresh36,,,,,,,,,,,,,29.125
85,85,2019-10-02 08:00:59.972000+00:00,,74.0,,10.0,,10.0,3465.029,10.0,cresh35,,,,,,,,,,,,,
86,86,2019-10-02 08:59:19.180000+00:00,,75.0,,10.0,,10.0,6845.985,10.0,cresh39,,,,,,,,,,,,,28.125
87,87,2019-10-02 09:05:20.252000+00:00,,79.0,,10.0,,10.0,6.918,10.0,cresh39,,,,,,,,,,,,,27.5
88,88,2019-10-02 09:16:20.398000+00:00,,65.0,,10.0,,10.0,8.185,11.0,cresh36,,,,,,,,,,,,,28.125
89,89,2019-10-02 09:21:50.497000+00:00,,64.0,,10.0,,10.0,1115.415,10.0,cresh35,,,,,,,,,,,,,
90,90,2019-10-02 09:22:19.479000+00:00,,,,,,,213.849,,cresh06,,,,,,,,,,,,,
91,91,2019-10-02 09:34:13.748000+00:00,10.0,107.0,,10.0,,10.0,2.826,10.0,cresh35,,,,,,,,,,,,,
92,92,2019-10-02 11:31:23.776000+00:00,10.0,66.0,,10.0,,10.0,3.597,10.0,cresh35,,,,,,,,,,,,,
93,93,2019-10-02 11:35:35.388000+00:00,9.0,73.0,,10.0,,10.0,6.2620000000000005,9.0,cresh35,,,,,,,,,,,,,
94,94,2019-10-03 00:59:28.246000+00:00,10.0,96.0,,10.0,,10.0,39311.252,10.0,cresh35,,,,,,,,,,,,,
95,95,2019-10-03 01:05:02.640000+00:00,,96.0,,10.0,,10.0,106.535,10.0,cresh35,,,,,,,,,,,,,
96,96,2019-10-03 02:25:27.640000+00:00,10.0,81.0,,10.0,,10.0,3.841,10.0,cresh35,3.0,1.296843750224115,103.77045364003524,2.0,BEEHUB,ENERGY_LAB_1,438.0,68.8295,45.0,46.0,25.9074,147.0,
97,97,2019-10-03 02:42:55.510000+00:00,9.0,87.0,,10.0,,10.0,4.694,9.0,cresh35,3.0,1.296843750224115,103.77045364003524,2.0,BEEHUB,ENERGY_LAB_1,442.0,68.0204,48.0,48.0,26.1917,147.0,
98,98,2019-10-03 02:56:59.589000+00:00,,98.0,,10.0,,11.0,6148.658,10.0,cresh37,3.0,1.2968816205335663,103.77047385730349,3.0,BEEHUB_TRAINING_ROOM,no_sensor,,,,,,,27.875
99,99,2019-10-03 03:03:25.931000+00:00,,72.0,,10.0,,10.0,9.636,10.0,cresh35,3.0,1.296843750224115,103.77045364003524,2.0,BEEHUB,ENERGY_LAB_1,432.0,68.0655,64.0,49.0,26.2223,147.0,
100,100,2019-10-03 03:18:15.427000+00:00,,70.0,,,,,0.025,,cresh07,,,,,,,,,,,,,
101,101,2019-10-03 04:36:57.744000+00:00,,95.0,,10.0,,10.0,4946.66,10.0,cresh37,3.0,1.2968640984286788,103.77046287118452,2.0,BEEHUB,ENERGY_LAB_1,524.0,67.3878,60.0,47.0,26.4866,147.0,27.375
102,102,2019-10-03 06:05:09.136000+00:00,,101.0,1.29724,10.0,103.771085,10.0,3712.686,10.0,cresh35,2.0,1.297357825128372,103.77104593829125,45.0,FORGE,BUILDING_MATERIALS_LAB,642.0,53.7851,70.0,45.0,24.4344,119.0,
103,103,2019-10-03 07:12:06.956000+00:00,,,,,,,0.036000000000000004,,cresh08,,,,,,,,,,,,,
104,104,2019-10-03 07:16:47.250000+00:00,,,,,,,0.023,,cresh12,,,,,,,,,,,,,24.375
105,105,2019-10-03 07:27:46.664000+00:00,,83.0,,10.0,,10.0,1470.067,10.0,cresh35,,,,,,,,,,,,,
106,106,2019-10-03 09:07:57.744000+00:00,,65.0,,10.0,,10.0,281.015,9.0,cresh35,,,,,,,,,,,,,
107,107,2019-10-03 09:10:10.214000+00:00,,72.0,,,,,0.024,,cresh11,,,,,,,,,,,,,
108,108,2019-10-03 09:11:05.970000+00:00,,65.0,,,,,0.045,,cresh01,,,,,,,,,,,,,
109,109,2019-10-03 09:12:31.148000+00:00,10.0,74.0,,10.0,,10.0,3.9130000000000003,10.0,cresh35,,,,,,,,,,,,,
110,110,2019-10-03 09:18:47.174000+00:00,,69.0,,,,,0.023,,cresh06,,,,,,,,,,,,,
111,111,2019-10-03 10:16:39.148000+00:00,,70.0,,10.0,,10.0,2300.488,10.0,cresh35,,,,,,,,,,,,,
112,112,2019-10-04 01:01:12.141000+00:00,9.0,70.0,,,,,0.022,,cresh35,,,,,,,,,,,,,
113,113,2019-10-04 01:14:18.036000+00:00,,109.0,,,,,0.039,,cresh10,,,,,,,,,,,,,23.375
114,114,2019-10-04 02:43:53.970000+00:00,,95.0,,11.0,,11.0,5042.96,11.0,cresh02,,,,,,,,,,,,,
115,115,2019-10-04 02:44:23.826000+00:00,9.0,95.0,,10.0,,10.0,14.204,10.0,cresh02,,,,,,,,,,,,,
116,116,2019-10-04 03:18:16.947000+00:00,,70.0,,,,,0.023,,cresh07,,,,,,,,,,,,,24.375
117,117,2019-10-04 05:06:13.428000+00:00,,79.0,,,,,0.037,,cresh04,,,,,,,,,,,,,24.25
118,118,2019-10-04 05:20:19.351000+00:00,,70.0,,10.0,,10.0,122.223,10.0,cresh07,2.0,1.2973301289319243,103.77103077534008,45.0,FORGE,BUILDING_MATERIALS_LAB,668.0,54.3496,74.0,46.0,23.751,144.0,26.375
119,119,2019-10-04 05:20:29.766000+00:00,,109.0,,10.0,,10.0,371.439,,cresh10,2.0,1.2973171286764242,103.7710189819336,45.0,FORGE,BUILDING_MATERIALS_LAB,668.0,54.3496,74.0,46.0,23.751,144.0,26.375
120,120,2019-10-04 05:21:01.479000+00:00,10.0,83.0,,10.0,,10.0,10.212,11.0,cresh10,2.0,1.2973171286764242,103.7710189819336,45.0,FORGE,BUILDING_MATERIALS_LAB,668.0,54.3496,74.0,46.0,23.751,144.0,26.75
121,121,2019-10-04 05:27:55.857000+00:00,10.0,,,10.0,,10.0,2.542,10.0,cresh10,2.0,1.2973171198452613,103.7710422002026,45.0,FORGE,BUILDING_MATERIALS_LAB,684.0,54.5601,70.0,44.0,23.6015,149.0,26.0
122,122,2019-10-04 05:30:27.209000+00:00,10.0,61.0,,10.0,,10.0,8.096,10.0,cresh07,2.0,1.297318257545332,103.7710341383272,45.0,FORGE,BUILDING_MATERIALS_LAB,682.0,54.4616,71.0,46.0,23.6015,144.0,26.25
123,123,2019-10-04 05:30:59.243000+00:00,10.0,92.0,,10.0,,10.0,16.309,11.0,cresh10,2.0,1.2973325313092312,103.77104966160294,45.0,FORGE,BUILDING_MATERIALS_LAB,682.0,54.4616,71.0,46.0,23.6015,144.0,26.25
124,124,2019-10-04 05:51:17.360000+00:00,10.0,70.0,,10.0,,10.0,7.622,10.0,cresh07,2.0,1.2973203213905196,103.77103105683612,45.0,FORGE,BUILDING_MATERIALS_LAB,692.0,54.8265,73.0,47.0,23.5289,141.0,25.25
125,125,2019-10-04 05:54:12.312000+00:00,,,,,,10.0,2523.999,,cresh08,2.0,1.2973198175504164,103.77103432202955,45.0,FORGE,BUILDING_MATERIALS_LAB,714.0,54.8217,70.0,46.0,23.5878,138.0,
126,126,2019-10-04 05:54:45.911000+00:00,10.0,94.0,,11.0,,10.0,13.908,11.0,cresh08,2.0,1.2973198175504164,103.77103432202955,45.0,FORGE,BUILDING_MATERIALS_LAB,710.0,54.9068,70.0,50.0,23.5594,138.0,
127,127,2019-10-04 05:58:35.284000+00:00,10.0,71.0,,10.0,,10.0,11.094,11.0,cresh08,2.0,1.2973171339633713,103.77102514188422,45.0,FORGE,BUILDING_MATERIALS_LAB,728.0,54.9385,69.0,47.0,23.5878,144.0,
128,128,2019-10-04 06:04:18.331000+00:00,10.0,76.0,,10.0,,10.0,5.221,10.0,cresh07,2.0,1.2973171995973414,103.77104149726046,45.0,FORGE,BUILDING_MATERIALS_LAB,742.0,55.1793,65.0,47.0,23.6605,138.0,28.75
129,129,2019-10-04 06:04:34.742000+00:00,,76.0,,10.0,,11.0,1099.207,11.0,cresh10,2.0,1.2973368395387768,103.77104627616981,45.0,FORGE,BUILDING_MATERIALS_LAB,742.0,55.1793,65.0,47.0,23.6605,138.0,27.75
130,130,2019-10-04 06:05:37.647000+00:00,10.0,75.0,,10.0,,10.0,8.682,10.0,cresh08,2.0,1.2973343378918218,103.7710336754214,45.0,FORGE,BUILDING_MATERIALS_LAB,752.0,55.0516,65.0,47.0,23.7952,141.0,
131,131,2019-10-04 06:15:08.139000+00:00,10.0,65.0,,10.0,,10.0,3.455,10.0,cresh08,2.0,1.297333368508249,103.77103241404326,45.0,FORGE,BUILDING_MATERIALS_LAB,836.0,54.4117,62.0,48.0,24.2259,144.0,
132,132,2019-10-04 06:20:38.766000+00:00,10.0,72.0,,10.0,,10.0,7.942,10.0,cresh08,2.0,1.2973154393258302,103.77101898564854,45.0,FORGE,BUILDING_MATERIALS_LAB,814.0,54.4981,62.0,45.0,24.1217,144.0,
133,133,2019-10-04 06:21:26.812000+00:00,9.0,87.0,,11.0,,11.0,12.715,11.0,cresh07,3.0,1.2968187388630223,103.77039312862821,0.0,EXHIBITON_SPACE,OPEN_EXHIBITION_SPACE_2,602.0,77.6218,179.0,66.0,27.6701,50.0,30.75
134,134,2019-10-04 06:21:52.302000+00:00,9.0,90.0,,11.0,,10.0,7.368,11.0,cresh10,,,,,,,,,,,,,30.0
135,135,2019-10-04 06:31:57.272000+00:00,,,,,,,4508.652,,cresh12,2.0,1.2973465205583865,103.77103919920184,45.0,FORGE,BUILDING_MATERIALS_LAB,848.0,54.4786,62.0,49.0,24.1217,149.0,23.75
136,136,2019-10-04 06:32:11.533000+00:00,10.0,114.0,,10.0,,10.0,12.692,10.0,cresh08,3.0,1.2968861423615605,103.77060414636549,-1.0,undefined,no_sensor,,,,,,,29.125
137,137,2019-10-04 06:35:38.733000+00:00,9.0,78.0,,11.0,,11.0,34.283,11.0,cresh07,3.0,1.2967982847913975,103.77034369784528,-1.0,undefined,no_sensor,,,,,,,31.5
138,138,2019-10-04 06:43:16.147000+00:00,10.0,73.0,,10.0,,10.0,12.687,11.0,cresh12,2.0,1.2973465205583865,103.77103919920184,45.0,FORGE,BUILDING_MATERIALS_LAB,824.0,54.599,63.0,45.0,23.9142,146.0,25.625
139,139,2019-10-04 06:48:32.368000+00:00,10.0,59.0,,10.0,,10.0,5.566,11.0,cresh12,2.0,1.2973465205583865,103.77103919920184,45.0,FORGE,BUILDING_MATERIALS_LAB,832.0,54.2815,63.0,45.0,23.9585,141.0,28.5
140,140,2019-10-04 06:49:57.670000+00:00,9.0,75.0,,11.0,,11.0,19.752,11.0,cresh07,3.0,1.2968255127733181,103.770404597365,2.0,BEEHUB,ENERGY_LAB_1,490.0,66.6834,50.0,46.0,26.6077,144.0,30.75
141,141,2019-10-04 06:50:08.609000+00:00,10.0,77.0,,10.0,,10.0,30.444,11.0,cresh08,,,,,,,,,,,,,31.75
142,142,2019-10-04 07:04:54.267000+00:00,9.0,65.0,,10.0,,10.0,7.948,10.0,cresh08,,,,,,,,,,,,,31.75
143,143,2019-10-04 07:05:24.785000+00:00,,,,,,,0.024,,cresh14,,,,,,,,,,,,,
144,144,2019-10-04 07:05:57.027000+00:00,,70.0,,,,,0.027,,cresh13,,,,,,,,,,,,,
145,145,2019-10-04 07:06:46.367000+00:00,,89.0,,11.0,,10.0,30.722,11.0,cresh10,,,,,,,,,,,,,30.875
