heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
76.0,9.0,11.0,10.0,cresh07,11.18
61.0,10.0,10.0,9.0,cresh06,11.30
62.0,10.0,10.0,11.0,cresh05,11.33
65.0,10.0,10.0,9.0,cresh06,11.45
66.0,10.0,10.0,11.0,cresh05,11.47
72.0,10.0,10.0,11.0,cresh05,11.49
75.0,9.0,10.0,10.0,cresh07,11.50
62.0,10.0,10.0,9.0,cresh06,12.0
69.0,10.0,10.0,10.0,cresh05,12.5
70.0,10.0,10.0,11.0,cresh05,12.5
72.0,9.0,11.0,10.0,cresh07,12.6
73.0,10.0,10.0,10.0,cresh01,12.9
66.0,10.0,10.0,11.0,cresh05,12.13
75.0,9.0,11.0,10.0,cresh07,12.13
67.0,10.0,10.0,9.0,cresh06,12.15
59.0,10.0,10.0,10.0,cresh01,12.21
56.0,10.0,10.0,9.0,cresh06,12.30
68.0,9.0,10.0,10.0,cresh07,12.32
60.0,10.0,10.0,10.0,cresh01,12.33
80.0,10.0,10.0,11.0,cresh10,12.39
79.0,9.0,10.0,10.0,cresh07,12.44
60.0,10.0,10.0,9.0,cresh06,12.45
55.0,10.0,10.0,10.0,cresh01,12.45
65.0,10.0,10.0,10.0,cresh01,12.58
63.0,10.0,10.0,9.0,cresh06,13.0
83.0,9.0,10.0,10.0,cresh07,13.1
76.0,10.0,11.0,10.0,cresh10,13.7
61.0,10.0,10.0,9.0,cresh06,13.15
87.0,9.0,10.0,10.0,cresh01,13.15
77.0,11.0,10.0,10.0,cresh03,13.17
77.0,10.0,10.0,10.0,cresh01,13.20
101.0,10.0,11.0,10.0,cresh15,13.24
70.0,11.0,10.0,9.0,cresh03,13.28
61.0,9.0,10.0,10.0,cresh01,13.31
91.0,10.0,10.0,10.0,cresh07,13.34
72.0,10.0,10.0,11.0,cresh05,13.37
84.0,10.0,11.0,10.0,cresh15,13.42
56.0,10.0,11.0,10.0,cresh01,13.47
73.0,10.0,11.0,10.0,cresh15,13.59
