heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric,thermal_cozie
104.0,10.0,11.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,65.0749,1294.0,55.0,26.7932,28.75,10.53,10.0
78.0,9.0,10.0,cresh07,CAFE,70.4165,77.0,65.0,27.6318,31.5,11.6,10.0
94.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,73.837,147.0,69.0,28.9294,31.125,11.8,11.0
73.0,10.0,10.0,cresh05,IRC_LIBRARY_1,62.4254,157.0,48.0,26.8014,30.625,11.11,11.0
69.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0844,72.0,44.0,24.2849,28.625,11.15,9.0
62.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0844,72.0,44.0,24.2849,28.625,11.15,9.0
63.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0917,71.0,44.0,24.2564,28.5,11.15,9.0
68.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0917,71.0,44.0,24.2564,28.5,11.16,9.0
76.0,9.0,11.0,cresh07,CAFE,71.65100000000002,83.0,64.0,27.5869,31.75,11.18,10.0
61.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.8885,71.0,45.0,24.4175,28.875,11.3,9.0
62.0,10.0,10.0,cresh05,IRC_LIBRARY_1,62.4083,165.0,47.0,26.8151,31.0,11.33,11.0
65.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.6464,70.0,44.0,24.4481,28.75,11.45,9.0
66.0,10.0,10.0,cresh05,IRC_LIBRARY_1,62.1249,347.0,46.0,26.8919,31.25,11.47,11.0
72.0,10.0,10.0,cresh05,IRC_LIBRARY_1,62.0166,330.0,46.0,26.874,31.25,11.49,11.0
75.0,9.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,72.6836,178.0,65.0,29.259,31.375,11.5,10.0
