heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
88.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,70.4488,62.0,56.0,27.4647,30.5,22.6
75.0,10.0,10.0,10.0,cresh06,EXECUTIVE_SEMINAR_ROOM_B,83.1548,1294.0,47.0,27.0748,28.125,9.48
73.0,11.0,10.0,10.0,cresh11,IRC_LIBRARY_1,63.3706,158.0,51.0,26.6245,29.5,11.19
69.0,9.0,10.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,86.1537,176.0,63.0,26.7224,29.375,11.32
106.0,10.0,11.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,86.1537,176.0,63.0,26.7224,29.375,11.32
69.0,10.0,10.0,11.0,cresh15,BUDS_LAB,55.1222,188.0,42.0,24.7429,27.625,11.39
86.0,9.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.8328,92.0,48.0,26.3234,29.0,11.42
64.0,9.0,10.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,83.3872,203.0,65.0,27.2426,29.5,11.47
100.0,11.0,11.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,83.7278,195.0,68.0,27.6111,29.75,11.52
70.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.5041,70.0,45.0,24.5797,28.375,11.56
70.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3532,70.0,45.0,24.625,28.0,11.56
119.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.0114,70.0,44.0,24.7155,27.75,12.4
63.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3983,70.0,44.0,24.3438,28.375,12.19
63.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.6756,68.0,44.0,24.2712,28.375,12.34
