heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,temperature_mbient,time-numeric
86.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.875,17.9
54.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,28.375,17.25
92.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,28.875,17.38
75.0,10.0,10.0,10.0,cresh14,EXECUTIVE_SEMINAR_ROOM_B,29.0,18.22
90.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.5,19.19
95.0,10.0,10.0,9.0,cresh14,NEAR_DIC_STUDIO_1,28.125,19.20
71.0,9.0,11.0,10.0,cresh13,NEAR_DIC_STUDIO_1,28.125,19.39
76.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,28.125,20.17
88.0,9.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,30.5,22.6
75.0,10.0,10.0,10.0,cresh06,EXECUTIVE_SEMINAR_ROOM_B,28.125,9.48
73.0,11.0,10.0,10.0,cresh11,IRC_LIBRARY_1,29.5,11.19
69.0,9.0,10.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,29.375,11.32
106.0,10.0,11.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,29.375,11.32
69.0,10.0,10.0,11.0,cresh15,BUDS_LAB,27.625,11.39
86.0,9.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.0,11.42
64.0,9.0,10.0,10.0,cresh01,OPEN_EXHIBITION_SPACE_2,29.5,11.47
100.0,11.0,11.0,11.0,cresh11,OPEN_EXHIBITION_SPACE_2,29.75,11.52
70.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.375,11.56
70.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.0,11.56
119.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,27.75,12.4
63.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.375,12.19
63.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.375,12.34
66.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.625,12.45
89.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.125,12.53
64.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.375,13.0
94.0,9.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.5,13.11
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.125,13.15
82.0,10.0,10.0,10.0,cresh05,BUDS_LAB,25.875,13.26
89.0,10.0,10.0,10.0,cresh05,BUDS_LAB,26.625,13.28
67.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.125,13.30
84.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.5,13.55
107.0,10.0,10.0,10.0,cresh11,IRC_LIBRARY_1,29.25,13.59
61.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,27.625,14.0
73.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,29.125,14.8
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,27.75,14.15
107.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.0,14.25
60.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.25,14.30
105.0,10.0,10.0,11.0,cresh09,OPEN_EXHIBITION_SPACE_2,28.5,14.31
74.0,10.0,10.0,10.0,cresh04,BUDS_LAB,28.375,14.36
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,14.39
57.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.125,14.45
64.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.5,14.55
80.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.5,14.56
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.25,15.0
88.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.875,15.10
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,27.875,15.15
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.0,15.16
76.0,10.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,30.125,15.17
96.0,10.0,10.0,11.0,cresh09,OPEN_EXHIBITION_SPACE_2,31.625,15.18
63.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.5,15.30
94.0,9.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.75,15.42
77.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.625,15.56
89.0,10.0,10.0,10.0,cresh14,CAFE,29.125,15.57
62.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,16.17
81.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.25,16.18
59.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.75,16.32
109.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.625,16.34
64.0,10.0,,9.0,cresh01,IRC_LIBRARY_1,28.75,16.47
69.0,11.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.5,17.2
93.0,9.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.5,17.16
59.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,17.17
68.0,10.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,29.875,17.56
71.0,10.0,10.0,11.0,cresh05,BUDS_LAB,25.25,18.10
72.0,10.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,28.875,18.23
96.0,10.0,10.0,10.0,cresh05,BUILDING_MATERIALS_LAB,28.25,18.40
90.0,11.0,10.0,10.0,cresh05,IRC_LIBRARY_1,29.375,18.45
69.0,10.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,28.125,18.53
72.0,11.0,10.0,10.0,cresh05,IRC_LIBRARY_1,29.0,19.7
98.0,10.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,29.375,19.15
108.0,9.0,10.0,10.0,cresh05,OPEN_EXHIBITION_SPACE_2,29.375,19.16
70.0,10.0,11.0,11.0,cresh13,OPEN_EXHIBITION_SPACE_2,30.5,19.27
86.0,10.0,10.0,10.0,cresh07,HOT_DESKING_ARCHITECTURE_STUDIO_SPACE_1,29.625,19.39
76.0,10.0,,10.0,cresh07,IRC_LIBRARY_1,30.125,20.2
82.0,10.0,10.0,11.0,cresh08,IRC_LIBRARY_1,28.75,20.2
84.0,10.0,10.0,11.0,cresh07,IRC_LIBRARY_1,30.75,20.22
76.0,10.0,10.0,10.0,cresh07,IRC_LIBRARY_1,31.125,20.34
106.0,10.0,10.0,10.0,cresh08,CAFE,29.375,20.48
77.0,10.0,10.0,10.0,cresh07,IRC_LIBRARY_1,31.625,20.49
111.0,10.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,27.875,10.5
76.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,30.25,10.20
84.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,31.375,10.35
78.0,9.0,11.0,10.0,cresh07,CAFE,31.375,10.50
104.0,10.0,11.0,10.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,28.75,10.53
78.0,9.0,10.0,10.0,cresh07,CAFE,31.5,11.6
94.0,10.0,10.0,11.0,cresh05,OPEN_EXHIBITION_SPACE_2,31.125,11.8
73.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,30.625,11.11
69.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.625,11.15
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.625,11.15
