light_cozie,noise_cozie,thermal_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
10.0,10.0,11.0,cresh05,62.4083,165.0,47.0,26.8151,0.11753739745783755,-0.9930684569549263,0.9749279121818236,-0.22252093395631434
9.0,11.0,11.0,cresh02,62.2027,211.0,46.0,26.8467,0.07845909572784507,-0.996917333733128,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.6464,70.0,44.0,24.4481,0.06540312923014312,-0.9978589232386035,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,62.1249,347.0,46.0,26.8919,0.05669278756337766,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,62.0166,330.0,46.0,26.874,0.04797812852134419,-0.9988483864849507,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh07,72.6836,178.0,65.0,29.259,0.043619387365336076,-0.9990482215818578,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.7291,72.0,44.0,24.4344,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh05,61.7161,313.0,49.0,26.9783,-0.021814885034560975,-0.9997620270799091,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,61.7161,313.0,49.0,26.9783,-0.021814885034560975,-0.9997620270799091,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,67.801,89.0,67.0,28.5872,-0.026176948307873177,-0.9996573249755573,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.7295,333.0,46.0,26.9783,-0.03925981575906871,-0.9992290362407229,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,61.5883,374.0,48.0,27.0099,-0.05669278756337741,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
9.0,11.0,10.0,cresh07,69.9475,210.0,64.0,29.5232,-0.05669278756337741,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.3678,75.0,44.0,24.4765,-0.06540312923014287,-0.9978589232386035,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.4375,430.0,46.0,27.0825,-0.09150161866340233,-0.9958049275746618,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.5381,67.0,44.0,24.2986,-0.13052619222005132,-0.9914448613738105,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh07,69.4304,89.0,67.0,28.6894,-0.13917310096006552,-0.9902680687415703,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.2051,349.0,46.0,27.2005,-0.14349262199117913,-0.9896513868196702,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh10,61.257,1294.0,56.0,27.5316,-0.16934950384902459,-0.9855560590580777,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh07,68.5574,98.0,68.0,28.5559,-0.19080899537654475,-0.981627183447664,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.5771,70.0,44.0,24.2986,-0.19509032201612836,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.3499,334.0,52.0,27.1868,-0.19509032201612836,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.4557,283.0,49.0,27.2173,-0.25038000405444155,-0.9681476403781077,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,52.5734,67.0,45.0,24.4765,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh07,85.6987,145.0,66.0,27.9996,-0.26303121445797456,-0.964787323828813,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh10,62.1573,1294.0,55.0,27.6203,-0.2881962681340892,-0.9575713608048144,0.9749279121818236,-0.22252093395631434
10.0,10.0,9.0,cresh06,53.1282,70.0,44.0,24.4618,-0.32143946530316153,-0.9469301294951057,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh01,73.2948,99.0,64.0,28.2054,-0.32143946530316153,-0.9469301294951057,0.9749279121818236,-0.22252093395631434
11.0,10.0,10.0,cresh03,61.7404,393.0,53.0,27.2342,-0.32969064526278713,-0.9440890203927843,0.9749279121818236,-0.22252093395631434
