heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,user_grouped_cooler,user_grouped_warmer,user_grouped_dimmer,user_grouped_brighter,user_grouped_quieter,user_grouped_louder,room_grouped_cooler,room_grouped_warmer,room_grouped_dimmer,room_grouped_brighter,room_grouped_quieter,room_grouped_louder,thermal_cozie
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,81.2565,49.0,47.0,25.7178,28.375,0.29654157497557104,-0.9550199444571866,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
66.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,82.3389,48.0,53.0,24.9126,27.875,0.15643446504023098,-0.9876883405951375,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
77.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,81.9404,46.0,45.0,25.0722,27.5,-0.19936793441719705,-0.9799247046208296,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,81.7073,46.0,45.0,25.4362,30.25,-0.9238795325112868,-0.3826834323650895,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
75.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,80.3621,46.0,48.0,25.4529,29.875,-0.9510565162951536,-0.3090169943749476,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
64.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,84.4477,46.0,45.0,25.8493,31.0,-0.9855560590580776,-0.16934950384902486,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
67.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,83.1679,46.0,63.0,25.9515,29.125,-0.9999619230641712,0.008726535498374096,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
69.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_B,81.1459,668.0,57.0,27.2803,29.5,-0.9883615104677608,0.15212338618991678,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.03448275862068965,0.03448275862068965,0.0,10.0
76.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_B,84.63799999999998,669.0,45.0,27.105,29.75,-0.9563047559630354,0.2923717047227368,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.03448275862068965,0.03448275862068965,0.0,10.0
70.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_B,83.2714,671.0,53.0,27.0018,29.125,-0.9044551454543679,0.4265687399014583,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.03448275862068965,0.03448275862068965,0.0,10.0
65.0,11.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,71.2276,45.0,47.0,25.8493,29.0,-0.8594064115014526,0.5112930860770522,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
101.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,69.6957,44.0,50.0,25.8931,28.5,-0.7771459614569708,0.6293203910498375,0.7818314824680297,0.6234898018587336,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
118.0,10.0,10.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,87.50200000000002,49.0,48.0,25.6594,28.875,0.14349262199117935,-0.9896513868196702,0.9749279121818236,-0.22252093395631434,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,10.0
84.0,10.0,11.0,cresh18,EXECUTIVE_SEMINAR_ROOM_A,85.4515,49.0,45.0,25.2641,27.5,0.07410849019539917,-0.9972501850994856,0.9749279121818236,-0.22252093395631434,0.14516129032258066,0.06451612903225806,0.016129032258064516,0.0967741935483871,0.12903225806451613,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
